,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label
182,10062939,2017-01-25,55341964,56600000,MD,0.0443,1.556,0.751,torchlight,0.0,1258036,1.0
183,34000001,2017-01-25,55290595,60025000,GA,0.0599,1.28,0.675,wells_fargo_bank,0.0,4734405,0.0
184,10100818,2017-01-25,55250000,55250000,CO,0.0323,2.56,0.65,wells_fargo_bank,0.0,0,0.0
185,10097998,2017-01-25,55215000,55215000,MD,0.0357,1.25,0.753,wells_fargo_bank,0.0,0,0.0
186,10096472,2017-01-25,55000000,55000000,CA,0.0347,1.43,0.654,wells_fargo_bank,0.0,0,0.0
187,10074237,2017-01-25,54960000,54960000,VA,0.0363,1.29,0.8,wells_fargo_bank,0.0,0,0.0
188,10097999,2017-01-25,54750000,54750000,CA,0.0332,2.43,0.491,wells_fargo_bank,0.0,0,0.0
189,30309060,2017-01-25,54704000,54704000,TX,0.024037,1.63,0.8,trimont,0.0,0,0.0
190,30304083,2017-01-25,54623198,59708000,MD,0.0379,1.4,0.715,midland_loan_services,0.0,5084802,0.0
191,491000002,2017-01-25,54608731,61189000,VA,0.0459,1.3,0.723,wells_fargo_bank,0.0,6580269,0.0
192,650100002,2017-01-25,54335253,61100000,PA,0.0423,1.6,0.741,cwcapital,0.0,6764747,0.0
193,10102890,2017-01-25,54304000,54304000,SC,0.0358,1.36,0.792,midland_loan_services,0.0,0,0.0
194,940998343,2017-01-25,54300000,54300000,CA,0.0402,2.64,0.456,wells_fargo_bank,0.0,0,0.0
195,10054723,2017-01-25,54124415,58330000,CA,0.058,1.3,0.648,wells_fargo_bank,0.0,4205585,0.0
196,30308283,2017-01-25,53957705,54200000,VA,0.0358,1.32,0.723,wells_fargo_bank,0.0,242295,0.0
197,301561003,2017-01-25,53907347,54980000,TX,0.0479,1.25,0.723,keybank,0.0,1072653,1.0
198,10084973,2017-01-25,53863000,53863000,TX,0.0446,1.25,0.734,cwcapital,0.0,0,0.0
199,30305791,2017-01-25,53770768,55910000,FL,0.029237,1.51,0.717,"berkeley_point_capital,_llc",0.0,2139232,0.0
200,303171003,2017-01-25,53556000,53556000,FL,0.0394,1.3,0.604,cwcapital,0.0,0,0.0
201,304611003,2017-01-25,53500000,53500000,TX,0.0373,1.3,0.734,wells_fargo_bank,0.0,0,0.0
202,304221003,2017-01-25,53280000,53280000,UT,0.0324,1.31,0.799,cwcapital,0.0,0,0.0
203,30305790,2017-01-25,53263969,56773000,NJ,0.029237,1.56,0.568,"berkeley_point_capital,_llc",0.0,3509031,0.0
204,10082646,2017-01-25,53201543,56473000,VA,0.0429,1.35,0.612,wells_fargo_bank,0.0,3271457,1.0
205,301561004,2017-01-25,53187568,53535000,WA,0.0432,1.37,0.796,keybank,0.0,347432,0.0
206,291000004,2017-01-25,52720438,57710000,PA,0.037,1.25,0.764,midland_loan_services,0.0,4989562,0.0
207,818100003,2017-01-25,52427842,55575000,TX,0.0397,1.382,0.603,cwcapital,0.0,3147158,0.0
208,820105304,2017-01-25,52180487,52663000,MO,0.0431,1.3,0.765,keybank,0.0,482513,1.0
209,30288577,2017-01-25,52050000,52050000,CA,0.0399,1.912,0.643,keybank,0.0,0,0.0
210,10086984,2017-01-25,52000000,52000000,FL,0.0449,1.27,0.609,wells_fargo_bank,0.0,0,0.0
211,10102153,2017-01-25,52000000,52000000,CA,0.0378,2.05,0.65,cwcapital,0.0,0,0.0
212,304901103,2017-01-25,52000000,52000000,FL,0.0345,1.25,0.684,wells_fargo_bank,0.0,0,0.0
213,824100002,2017-01-25,51986000,51986000,MD,0.0398,1.25,0.763,keybank,0.0,0,0.0
214,30309061,2017-01-25,51840000,51840000,TX,0.024037,1.58,0.8,trimont,0.0,0,0.0
215,708151949,2017-01-25,51817000,51817000,TX,0.0414,1.851,0.651,freddie_mac,0.0,0,0.0
216,300591002,2017-01-25,51700000,51700000,WA,0.035,2.21,0.541,cwcapital,0.0,0,0.0
217,303171004,2017-01-25,51635000,51635000,OR,0.0409,2.09,0.66,cwcapital,0.0,0,0.0
218,30309062,2017-01-25,51619000,51619000,TX,0.024037,1.58,0.786,trimont,0.0,0,0.0
219,304611004,2017-01-25,51595000,51595000,CO,0.037,1.25,0.775,wells_fargo_bank,0.0,0,0.0
220,10102891,2017-01-25,51350000,51350000,TX,0.0379,1.25,0.778,midland_loan_services,0.0,0,0.0
221,10084974,2017-01-25,51272093,54416000,NY,0.04441,1.25,0.684,cwcapital,0.0,3143907,0.0
222,305161001,2017-01-25,51230000,51230000,FL,0.0406,1.28,0.649,midland_loan_services,0.0,0,0.0
223,300340002,2017-01-25,51222926,56000000,VA,0.0329,2.54,0.4,keybank,0.0,4777074,1.0
224,10102154,2017-01-25,50659907,51844000,NJ,0.0429,1.41,0.581,cwcapital,0.0,1184093,0.0
225,10081393,2017-01-25,50635531,55000000,NY,0.0289,6.69,0.165,midland_loan_services,0.0,4364469,0.0
226,30310448,2017-01-25,50550000,25275000,CA,0.029637,1.83,0.7,keybank,0.0,-25275000,0.0
227,30310455,2017-01-25,50410000,25205000,NH,0.029637,1.87,0.7,keybank,0.0,-25205000,0.0
228,30309063,2017-01-25,50400000,50400000,FL,0.025037,1.52,0.8,trimont,0.0,0,0.0
229,304991019,2017-01-25,50400000,50400000,AL,0.027937,1.66,0.699,c-iii_asset_management_llc,0.0,0,0.0
230,10054724,2017-01-25,50315402,54375000,CA,0.0551,1.253,0.75,wells_fargo_bank,0.0,4059598,0.0
231,10063797,2017-01-25,50175000,50175000,FL,0.0379,1.29,0.705,wells_fargo_bank,0.0,0,0.0
232,46100004,2017-01-25,50107579,52400000,CA,0.0399,1.27,0.798,midland_loan_services,0.0,2292421,0.0
233,824100003,2017-01-25,49950000,49950000,PA,0.0398,1.448,0.631,keybank,0.0,0,0.0
234,300651004,2017-01-25,49914650,50621000,FL,0.04,1.3,0.725,cwcapital,0.0,706350,0.0
235,304221004,2017-01-25,49726000,49726000,CO,0.037,1.25,0.772,cwcapital,0.0,0,0.0
236,10082647,2017-01-25,49571745,52620000,VA,0.0429,1.35,0.612,wells_fargo_bank,0.0,3048255,1.0
237,10073684,2017-01-25,49527164,53880000,PA,0.0433,1.298,0.797,wells_fargo_bank,0.0,4352836,0.0
238,838100002,2017-01-25,49525806,53500000,VA,0.0492,1.313,0.686,keybank,0.0,3974194,0.0
239,305131004,2017-01-25,49500000,49500000,CO,0.0384,1.26,0.712,keybank,0.0,0,0.0
240,301451003,2017-01-25,49250793,53085000,FL,0.036,1.3,0.673,cwcapital,0.0,3834207,0.0
241,301901002,2017-01-25,49200000,49200000,CA,0.0395,2.18,0.592,wells_fargo_bank,0.0,0,0.0
242,10102155,2017-01-25,49010000,49010000,TX,0.037,1.26,0.662,cwcapital,0.0,0,0.0
243,10074293,2017-01-25,49000000,49000000,CA,0.0369,1.25,0.712,wells_fargo_bank,0.0,0,0.0
244,10069479,2017-01-25,48778918,51000000,TN,0.0363,1.37,0.774,wells_fargo_bank,0.0,2221082,0.0
245,10064886,2017-01-25,48750819,51000000,WA,0.0532,1.42,0.67,cwcapital,0.0,2249181,0.0
246,304901104,2017-01-25,48524000,48524000,TX,0.0352,1.25,0.682,wells_fargo_bank,0.0,0,0.0
247,30309614,2017-01-25,48498317,49750000,CA,0.028737,2.09,0.662,keybank,0.0,1251683,0.0
248,30305782,2017-01-25,48496967,50526000,VA,0.029237,1.52,0.702,"berkeley_point_capital,_llc",0.0,2029033,0.0
