,loan_id,published_date,current_balance,original_balance,property_state,orig_int_rate,orig_dscr,orig_ltv,special_servicer,freddie_held,principal_paydown,label,orig_occ_rate,most_rct_occ_rate,occ_rate_delta,orig_noi,most_rct_noi,noi_delta,most_rct_value,orig_value,value_delta,most_rct_ltv,ltv_delta,most_rct_debt_serv,orig_debt_serv,debt_serv_delta,most_rct_dscr,dscr_delta
54,10093491,2017-01-25,87500000,87500000,IL,0.0366,2.09,0.62,wells_fargo_bank,0.0,0,0.0,0.936,1.0,0.064,1909745.74,3887133,1977387.26,125900000,141129032.258,-15229032.2581,0.694996028594,0.0749960285941,1619041.06,913753.942584,705287.117416,2.36,0.27
55,10093491,2017-01-25,87500000,87500000,CO,0.0366,2.23,0.695,wells_fargo_bank,0.0,0,0.0,0.937,1.0,0.063,1909745.74,3887133,1977387.26,125900000,125899280.576,719.424460426,0.694996028594,-3.9714058776e-06,1619041.06,856388.224215,762652.835785,2.36,0.13
56,30309569,2017-01-25,87000000,87000000,VA,0.027737,1.47,0.716,keybank,0.0,0,0.0,0.965,0.95,-0.015,0.0,5848204,5848204.0,121500000,121508379.888,-8379.88826816,0.716049382716,4.93827160494e-05,2283133.33,0.0,2283133.33,2.49,1.02
57,304991016,2017-01-25,87000000,87000000,MD,0.025437,1.52,0.773,c-iii_asset_management_llc,0.0,0,0.0,0.954,0.95,-0.004,6083744.4,4625353,-1458391.4,112600000,112548512.29,51487.7102199,0.772646536412,-0.000353463587922,1559496.0,4002463.42105,-2442967.42105,2.901,1.381
58,10074287,2017-01-25,86867000,86867000,CA,0.0342,2.23,0.488,wells_fargo_bank,0.0,0,0.0,0.95,0.93,-0.02,0.0,4068169,4068169.0,0,178006147.541,-178006147.541,inf,inf,1501931.34,0.0,1501931.34,2.69,0.46
59,10074292,2017-01-25,86532090,90000000,PA,0.0342,1.31,0.75,wells_fargo_bank,0.0,3467910,0.0,0.917,0.91,-0.007,6625944.0,5244637,-1381307.0,120050000,120000000.0,50000.0,0.720800416493,-0.0291995835069,3601186.56,5057972.51908,-1456785.95908,1.38,0.07
60,10097995,2017-01-25,86510000,86510000,PA,0.0399,1.26,0.77,wells_fargo_bank,0.0,0,0.0,0.9796,1.0,0.0204,6219725.0,6840855,621130.0,112400000,112350649.351,49350.6493507,0.769661921708,-0.000338078291815,3499689.35,4936289.68254,-1436600.33254,1.92,0.66
61,301561001,2017-01-25,86467371,92550000,CA,0.0359,1.25,0.6,keybank,0.0,6082629,0.0,0.958,0.96,0.002,6373940.49,7161822,787881.51,153000000,154250000.0,-1250000.0,0.565146215686,-0.0348537843137,5043053.0,5099152.392,-56099.392,1.406,0.156
62,30308280,2017-01-25,86171461,92000000,CA,0.0312,1.4,0.538,wells_fargo_bank,0.0,5828539,0.0,0.955,0.0,-0.955,0.0,0,0.0,168270000,171003717.472,-2733717.47212,0.512102341475,-0.025897658525,0.0,0.0,0.0,0.0,-1.4
63,30308281,2017-01-25,85198437,91000000,CA,0.0308,1.47,0.562,wells_fargo_bank,0.0,5801563,0.0,0.944,0.0,-0.944,0.0,0,0.0,159400000,161921708.185,-2521708.18505,0.534494585947,-0.0275054140527,0.0,0.0,0.0,0.0,-1.47
