,lnno,mrtg_status,quarter,amt_upb_endg,amt_upb_pch,code_st,rate_int,rate_dcr
94755,264098940,100,2016-03-31,71000000.0,71000000.0,VA,0.0594,1.38
94791,264259942,100,2016-03-31,17000000.0,17000000.0,CA,0.0552,1.682
95224,265272002,100,2016-03-31,8199052.16,9400000.0,TN,0.029405,1.567
95387,266097940,100,2016-03-31,2553172.8,2950000.0,MI,0.0625,1.465
95718,267097940,100,2016-03-31,1999264.02,2310000.0,MI,0.0625,1.398
96473,269100941,100,2016-03-31,1319157.89,1385000.0,NY,0.0738,1.303
96648,269271002,100,2016-03-31,980956.52,1200000.0,MD,0.0628,1.374
96796,269411504,100,2016-03-31,7762036.56,8200000.0,MD,0.0635,1.505
97207,270440534,100,2016-03-31,4521660.66,4809000.0,CA,0.0429,1.3
97455,271278002,100,2016-03-31,2305354.24,2850000.0,NJ,0.064,1.262
97485,271411504,100,2016-03-31,546432.17,600000.0,MI,0.0674,1.303
97641,272259942,100,2016-03-31,37827442.03,40000000.0,CA,0.0533,1.632
97827,272411504,100,2016-03-31,537324.53,590000.0,MI,0.0674,1.251
98078,274100941,100,2016-03-31,1980900.6,2080000.0,NY,0.0737,1.33
98161,274271002,100,2016-03-31,24720135.51,27400000.0,FL,0.0516,1.941
98216,274411504,100,2016-03-31,482681.33,530000.0,MI,0.0674,1.252
98271,274778487,100,2016-03-31,4424196.76,5000000.0,TX,0.0602,1.758
98328,275096940,100,2016-03-31,6433394.17,8000000.0,WI,0.0539,1.526
98426,275259942,100,2016-03-31,12783252.69,13000000.0,CA,0.0565,1.796
98704,275778487,100,2016-03-31,11730264.12,13400000.0,OH,0.0563,1.507
98761,276096940,100,2016-03-31,7028526.95,8500000.0,WI,0.0539,1.387
98796,276099940,100,2016-03-31,6370000.0,6370000.0,AL,0.0599,1.644
99069,277097940,100,2016-03-31,4781032.43,5240000.0,TX,0.0604,1.441
99269,277272002,100,2016-03-31,3328296.98,3925000.0,FL,0.0651,1.383
99295,277823708,100,2016-03-31,50000000.0,50000000.0,FL,0.024105,2.9196477
99567,279097940,100,2016-03-31,6815708.35,7470000.0,TX,0.0604,1.443
99694,279270002,100,2016-03-31,3615992.69,4620000.0,MD,0.0616,1.495
99735,279272002,100,2016-03-31,5968852.78,7200000.0,MD,0.029405,1.733
99808,279778487,100,2016-03-31,4600000.0,4600000.0,TX,0.0557,9.883
99818,279824708,100,2016-03-31,27060000.0,27060000.0,AZ,0.031705,2.2697641
99835,279884948,100,2016-03-31,579362.7,650000.0,NY,0.0555,5.778
99915,280269002,100,2016-03-31,2975017.49,7000000.0,FL,0.0706,1.567
100102,281097940,100,2016-03-31,9468927.19,10000000.0,MN,0.0558,1.509
100248,281266002,100,2016-03-31,19600902.32,23600000.0,CA,0.0627,1.518
100622,282869968,100,2016-03-31,4460853.13,5400000.0,NY,0.0536,8.732
100661,283097940,100,2016-03-31,9739985.27,10675000.0,TX,0.0604,1.44
101068,283414504,100,2016-03-31,7265018.77,8000000.0,GA,0.0625,1.284
101146,284258942,100,2016-03-31,4204378.05,4715000.0,WA,0.0568,1.475
101215,284270002,500,2016-03-31,,4500000.0,MD,0.029295,2.522
101314,284439534,100,2016-03-31,1061452.89,1112000.0,OR,0.0644,1.212
101348,284778487,100,2016-03-31,878123.84,1000000.0,NE,0.0576,1.469
101390,284869968,100,2016-03-31,12420612.85,15000000.0,NY,0.0537,6.456
101444,285098940,100,2016-03-31,5088459.46,5750000.0,FL,0.0644,1.466
101628,285411504,500,2016-03-31,,7000000.0,TX,0.02925,1.564
101651,285439534,100,2016-03-31,1288634.6,1350000.0,OR,0.0644,1.178
101876,286259942,100,2016-03-31,7250000.0,7250000.0,CO,0.0577,1.424
102036,286277002,100,2016-03-31,45595.82,1300000.0,NY,0.0683,2.527
102079,286418504,100,2016-03-31,4079329.47,4200000.0,IN,0.0739,1.15
102102,286439534,100,2016-03-31,2242223.82,2349000.0,OR,0.0644,1.201
102338,287259942,100,2016-03-31,8400000.0,8400000.0,CA,0.0571,4.279
102438,287272002,500,2016-03-31,,21000000.0,FL,0.0536,1.437
102503,287807708,100,2016-03-31,1898610.42,2000000.0,CO,0.0461,1.434
102509,287821708,100,2016-03-31,3000000.0,3000000.0,NY,0.0407,6.906
102589,288098940,100,2016-03-31,5431310.18,6300000.0,MS,0.0624,1.31
102708,288266002,100,2016-03-31,8845401.8,11100000.0,CA,0.0647,1.253
102793,288412504,100,2016-03-31,1367410.49,1430000.0,TX,0.0717,1.373
102928,289098940,100,2016-03-31,2391039.49,2700000.0,FL,0.0647,1.514
103202,289870968,100,2016-03-31,10875747.71,12373000.0,NY,0.0616,1.2
103370,290259942,100,2016-03-31,9538569.91,10000000.0,NM,0.058,1.425
103663,291098940,100,2016-03-31,1682975.98,1900000.0,FL,0.0648,1.616
103857,291412504,100,2016-03-31,951471.87,1059533.92,TX,0.063,1.245
103876,291418504,100,2016-03-31,8128521.63,8630000.0,TX,0.0602,1.45
104370,292418504,100,2016-03-31,5721989.14,6075000.0,TX,0.0602,1.451
104425,292870968,100,2016-03-31,69588566.65,80000000.0,PA,0.0584,1.201
104561,293266002,100,2016-03-31,7602103.15,9900000.0,CA,0.0616,1.324
104765,293414504,100,2016-03-31,7307893.34,8151000.0,CA,0.0571,1.25
104815,293778487,100,2016-03-31,3506764.88,3650000.0,NE,0.0582,1.497
104888,293870968,100,2016-03-31,2264201.21,2600000.0,NY,0.059,1.385
105027,294259002,100,2016-03-31,6130092.88,7900000.0,NC,0.0677,1.493
105224,294278002,100,2016-03-31,2264908.91,2800000.0,NJ,0.064,1.359
105294,294778487,100,2016-03-31,772339.09,875000.0,NE,0.0598,1.23
105463,295412504,100,2016-03-31,1420265.69,1750000.0,TX,0.0657,1.174
105482,295418504,100,2016-03-31,9872952.77,10491019.98,OH,0.0588,1.553
105862,297097940,100,2016-03-31,2183250.66,2550000.0,TX,0.0565,1.271
106260,298276002,100,2016-03-31,2241900.5,2797037.59,ND,0.0568,1.52
106328,298870968,100,2016-03-31,10944741.26,12500000.0,NJ,0.0649,1.212
106381,299097940,100,2016-03-31,2600838.64,3300000.0,NE,0.0586,1.405
106746,300259002,100,2016-03-31,3705557.76,4500000.0,NC,0.0677,1.535
106828,300274002,100,2016-03-31,7998752.94,12000000.0,NE,0.0704,1.374
106912,300870968,100,2016-03-31,5538712.14,6400000.0,MA,0.0604,1.413
107243,302097940,100,2016-03-31,3759901.48,4400000.0,NE,0.0558,1.507
107373,302259942,500,2016-03-31,,19000000.0,OR,0.0531,1.696
