,loan_id,dlq_status_text,distributiondate,actual_balance,original_note_amount,state,note_rate,dscr_(ncf)
389,690100002,100,01/25/2017,42252998,44850000,FL,0.0513,0.835
390,10102160,100,01/25/2017,42124000,42124000,CA,0.0322,3.28
391,303681008,100,01/25/2017,42100000,42100000,CA,0.0428,1.775
392,669100003,100,01/25/2017,42040588,42675000,NY,0.0467,1.635
393,305131005,100,01/25/2017,42000000,42000000,MD,0.0402,2.05
394,300651006,100,01/25/2017,42000000,42000000,GA,0.0391,2.109
395,300651007,100,01/25/2017,42000000,42000000,MD,0.0377,1.867
396,30309080,100,01/25/2017,41950000,41950000,GA,0.025037,3.62
397,10102161,100,01/25/2017,41830000,41830000,AZ,0.0388,2.0
398,30310304,100,01/25/2017,41800000,41800000,CO,0.029037,1.64
399,303681009,100,01/25/2017,41800000,41800000,PA,0.0357,2.081
400,501164324,100,01/25/2017,41631084,43165000,MD,0.0387,1.593
401,10102896,100,01/25/2017,41580000,41580000,NH,0.0423,1.78
402,669100002,100,01/25/2017,41559856,44700000,MD,0.0443,1.532
403,30310415,100,01/25/2017,41550000,20775000,TX,0.029637,3.36
404,300340007,100,01/25/2017,41483262,43200000,MI,0.0392,1.975
405,304611009,100,01/25/2017,41360000,41360000,CO,0.0359,2.052
406,301151003,100,01/25/2017,41317831,41876000,PA,0.037,1.756
407,30283195,100,01/25/2017,41231782,44300000,PA,0.0451,1.63
408,305131006,100,01/25/2017,41200000,41200000,TX,0.0317,2.088
409,10099793,100,01/25/2017,41134000,41134000,FL,0.0465,2.01
410,30306585,100,01/25/2017,41086833,43940000,CA,0.031937,1.7
411,820108182,100,01/25/2017,41041000,41041000,CA,0.0349,2.153
412,304611010,100,01/25/2017,41000000,41000000,MD,0.0449,2.888
413,303171006,100,01/25/2017,40800000,40800000,CO,0.0384,2.295
414,10098669,100,01/25/2017,40800000,40800000,MO,0.0393,1.88
415,838100005,100,01/25/2017,40783853,41824000,MD,0.052,1.337
416,30309605,100,01/25/2017,40779000,40779000,TX,0.026537,2.83
417,10061546,100,01/25/2017,40745200,45094000,WA,0.0406,1.81
418,300501004,100,01/25/2017,40608262,43098000,TX,0.0353,1.222
419,30309590,100,01/25/2017,40560000,40560000,VA,0.026887,3.53
420,10093496,100,01/25/2017,40531229,41000000,CA,0.0385,2.1
421,10093496,100,01/25/2017,40531229,41000000,NJ,0.0385,2.1
422,302521005,100,01/25/2017,40442000,40442000,CA,0.0368,2.07
423,304741003,100,01/25/2017,40350000,40350000,VA,0.0392,2.47
424,302521004,100,01/25/2017,40308987,41442000,VA,0.0395,1.03
425,457000006,100,01/25/2017,40203616,44850000,CA,0.0507,2.149
426,30268872,100,01/25/2017,40136451,45375000,IL,0.0544,1.68
427,10064702,100,01/25/2017,40123784,26840000,VA,0.0407,1.8
428,30309887,100,01/25/2017,40104000,40104000,TX,0.024737,2.61
429,434000003,100,01/25/2017,40096474,43060000,CA,0.0512,1.961
430,305331004,100,01/25/2017,40080000,40080000,TX,0.0321,2.677
431,30309827,100,01/25/2017,40000000,40000000,TX,0.026637,2.37
432,30310055,100,01/25/2017,40000000,40000000,UT,0.025937,3.22
433,30310416,100,01/25/2017,40000000,20000000,PA,0.029637,4.57
